Mes/Ano;Ferrovia;TU;TKU
05/2008;RMS;2338842;1453821988
06/2008;EFC;8977519;7545270966
06/2008;EFPO;78554;53019025
06/2008;EFVM;12085868;6600440564
06/2008;FCA;1662611;1368411870
06/2008;FNSTN;213966;154619982
06/2008;FTC;238084;16778576
06/2008;FTL;130173;69043636
06/2008;MRS;10505141;4920349903
06/2008;RMN;753090;1034805602
06/2008;RMO;281457;112008896
06/2008;RMP;456398;296768411
06/2008;RMS;2404936;1568846121
07/2008;EFC;9601259;8093757162
07/2008;EFPO;96708;75017830
07/2008;EFVM;12360492;6792213230
07/2008;FCA;1865102;1448800979
07/2008;FNSTN;164308;118549848
07/2008;FTC;275767;19442575
07/2008;FTL;141863;79681745
07/2008;MRS;10473672;4948376621
07/2008;RMN;755969;1034437584
07/2008;RMO;331828;129414313
07/2008;RMP;458242;302373445
07/2008;RMS;2529527;1649939079
08/2008;EFC;9345466;7889173273
08/2008;EFPO;92913;60741713
08/2008;EFVM;12171672;6659619684
08/2008;FCA;1839408;1390622840
08/2008;FNSTN;180783;130187493
08/2008;FTC;267974;18718295
08/2008;FTL;116194;70905662
08/2008;MRS;11651748;5456240230
08/2008;RMN;594810;810993572
08/2008;RMO;333115;121821365
08/2008;RMP;616305;367412471
08/2008;RMS;2347433;1550851091
09/2008;EFC;8793690;7472179198
09/2008;EFPO;67527;52223461
09/2008;EFVM;12728473;7042718668
09/2008;FCA;1696247;1230285323
09/2008;FNSTN;147904;106450968
09/2008;FTC;269876;18823791
09/2008;FTL;136723;82126483
09/2008;MRS;11054854;5175468420
09/2008;RMN;518398;714712542
09/2008;RMO;328458;124881957
09/2008;RMP;649244;343779716
09/2008;RMS;2413294;1505009640
10/2008;EFC;9336166;7895930661
10/2008;EFPO;89974;70404785
10/2008;EFVM;11985295;6555794219
10/2008;FCA;1569972;1202214641
10/2008;FNSTN;188704;135892128
10/2008;FTC;279634;19689034
10/2008;FTL;164087;99340236
10/2008;MRS;11274029;5241846349
10/2008;RMN;606902;830450140
10/2008;RMO;279362;122926621
10/2008;RMP;688927;382393823
10/2008;RMS;2366286;1531313702
11/2008;EFC;8476750;7216597233
11/2008;EFPO;83821;67859780
11/2008;EFVM;6787516;3597131434
11/2008;FCA;1451725;1164720835
11/2008;FNSTN;107573;77403435
11/2008;FTC;243645;17266536
11/2008;FTL;140259;83937646
11/2008;MRS;8463393;3929067988
11/2008;RMN;853844;1179067100
11/2008;RMO;279438;105334132
11/2008;RMP;401275;214150354
11/2008;RMS;2036626;1368122364
12/2008;EFC;7726492;6654478033
12/2008;EFPO;92543;82080891
12/2008;EFVM;6486866;3526142811
12/2008;FCA;1349558;1152912076
